10001	4	1
10001	5	2
10001	6	3
10001	7	4
10001	8	5
10001	9	6
10001	10	7
10001	11	8
10001	12	9
10001	13	10
10001	14	11
10001	15	12
10001	16	13
10001	17	14
10001	18	15
10002		1
10002	21	2
10002	22	3
10002	23	4
10002	24	5
10002	25	6
10002	26	7
10002	27	8
10002	28	9
10002	29	10
10002	30	11
10002	31	12
10002	32	13
10002	33	14
10002	34	15
10004	36	1
10004	37	2
10004	38	3
10004	39	4
10004	40	5
10004	41	6
10004	42	7
10004	43	8
10004	44	9
10004	45	10
10004	46	11
10004	47	12
10004	48	13
10004	49	14
10004	50	15
10005	52	1
10005	53	2
10005		3
10005	55	4
10005	56	5
10005	57	6
10005	58	7
10005		8
10005	60	9
10005	61	10
10005	62	11
10007	65	1
10007	66	2
10007	67	3
10008	69	1
10008	70	2
10008	71	3
10008	72	4
10008	73	5
10008	74	6
10008	75	7
10008	76	8
10008	77	9
10008	78	10
10008	79	11
10008	80	12
10009	82	1
10009	83	2
10009	84	3
10009	85	4
10009	86	5
10009	87	6
10009	88	7
10009	89	8
10009	90	9
10009	91	10
10009	92	11
10010	94	1
10010	95	2
10010	96	3
10010	97	4
10010	98	5
10010	99	6
10010	100	7
10011	102	1
10011	103	2
10011	104	3
10011	105	4
10011	106	5
10011	107	6
10012	109	1
10012	110	2
10012	111	3
10012	112	4
10012	113	5
10012	114	6
10012	115	7
10012	116	8
10012	117	9
10012	118	10
10012	119	11
10012	120	12
10012	121	13
10012	122	14
10012	123	15
10012	124	16
10012	125	17
10013	127	1
10013	128	2
10013	129	3
10013	130	4
10013	131	5
10013	132	6
10013	133	7
10013	134	8
10014	136	1
10014	137	2
10014	138	3
10014	139	4
10014	140	5
10014	141	6
10014	142	7
10014	143	8
10014	144	9
10014	145	10
10014	146	11
10014	147	12
10014	148	13
10014	149	14
10014	150	15
10015	152	1
10015	153	2
10016	127	1
10016	155	2
10016	156	3
10016	134	4
10016	157	5
10016	158	6
10016	159	7
10016	160	8
10016	161	9
10017	163	1
10017	164	2
10017	165	3
10017	7	4
10017	166	5
10017	167	6
10017	168	7
10018	170	1
10018	171	2
10018	172	3
10018	173	4
10018	174	5
10018	175	6
10018	176	7
10018	177	8
10018	178	9
10018	179	10
10018	180	11
10018	181	12
10018	182	13
10018	183	14
10018	184	15
10018	185	16
10018	186	17
10018	187	18
10019	189	1
10019	190	2
10019	82	3
10019	191	4
10019	192	5
10019	193	6
10019	194	7
10019	195	8
10019	196	9
10019	197	10
10019	198	11
10019	199	12
10019	200	13
10019	201	14
10019	202	15
10021	205	1
10021	206	2
10021	87	3
10021	207	4
10021	208	5
10021	209	6
10021	210	7
10021	211	8
10021	212	9
10021	213	10
10021	214	11
10021	215	12
10021	216	13
10022	218	1
10022	219	2
10022	220	3
10022	221	4
10022	222	5
10022	223	6
10022	224	7
10023	226	1
10023	225	2
10023	227	3
10023	228	4
10023	229	5
10023	230	6
10023	231	7
10023	232	8
10023	233	9
10023	234	10
10023	235	11
10025	238	1
10025	239	2
10025	240	3
10025	241	4
10025	242	5
10025	243	6
10025	244	7
10025	245	8
10025	246	9
10025	247	10
10025	248	11
10025	249	12
10025	250	13
10025	251	14
10025	252	15
10026	254	1
10026	255	2
10026	256	3
10026	257	4
10026	258	5
10026	259	6
10028	262	1
10028	263	2
10028	264	3
10028	265	4
10028	266	5
10028	267	6
10028	268	7
10029	270	1
10029	271	2
10029	272	3
10029	273	4
10029	274	5
10029	275	6
10029	276	7
10029	277	8
10029	278	9
10029	279	10
10029	280	11
10029	281	12
10029	282	13
10029	283	14
10029	284	15
10029	285	16
10029	286	17
10031	289	1
10031	290	2
10031	291	3
10031	292	4
10031	293	5
10031	294	6
10031	295	7
10031	296	8
10031	297	9
10032	299	1
10032	300	2
10032	301	3
10032	302	4
10032	303	5
10032	304	6
10032	305	7
10032	306	8
10032	307	9
10032	308	10
10032	309	11
